position;castle_code;tags;castle_name;country;land;gebied;area;place;region;region_code;Latitude;Longitude;maps;stichter;founder;era;kasteel_type;castle_type;ct_code;kasteel_concept;castle_concept;cc_code;conditie;condition;c_code;opmerkelijk;remarkable;beschrijving;description;website;score_total;score_visitors;visitors;position_ref;score_ref;score_visitors_calculated;bezocht;score_alg;score_country;Description2;Name
11;eltz;eltz;Burg Eltz ;Germany;Duitsland;Heilige Roomse Rijk;Holy Roman Empire;Münstermaifeld;Rheinland-Pfalz;rheinland-pfalz;50,2049;7,3367;17799505289730524532;;;12;Rotskasteel;Rock castle;2;Toren of compact kasteel;Tower or compact castle;4;Intakt;Intact;1; ; ;;;http://www.burg-eltz.de/e_index.html;974,0310477;8,709090909;1814;30;452,4183358;1233,709091;2004;633,3856701;0;<b>Burg Eltz </b><br><br><img src='http://www.topcastles.com/images/large/eltz.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=eltz<br><br>11. Burg Eltz <br>Country: Germany<br>Region: Rheinland-Pfalz<br>Place: Münstermaifeld;Burg Eltz 
12;bodiam;bodiam;Bodiam Castle;England;Engeland;Britse Eilanden, Verenigd Koninkrijk;British isles, United Kingdom;Robertsbridge (Sussex);South East;south_east;51,00222222;0,543333333;741301259398482667;Sir Edward Dalyngrygge;Sir Edward Dalyngrygge;14;Waterburcht (Slot);Water castle;3;Rechthoekig of veelhoekig;Rectangular or polygonal;5;Beschadigd;Damaged;3; ; ;;;www.nationaltrust.org.uk/bodiamcastle/;970,2799566;7,717520858;838;15;611,7821263;939,3520858;2009;800,4949769;224;<b>Bodiam Castle</b><br><br><img src='http://www.topcastles.com/images/large/bodiam.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=bodiam<br><br>12. Bodiam Castle<br>Country: England<br>Region: South East<br>Place: Robertsbridge (Sussex);Bodiam Castle
13;monte;del+monte;Castel del Monte;Italy;Italië;Zuid Europa;South Europe;;Apulië (Puglia);puglia;41,08416667;16,27138889;2434451820762097620;Keizer Frederick II van het heilige roomse rijk;Emperor Frederick II of the holy roman empire;13;Hoogteburcht;Mountain castle;1;Rechthoekig of veelhoekig;Rectangular or polygonal;5;Intakt;Intact;1;;;Volledig symmetrisch achthoekig kasteel.;Volledig symmetrisch achthoekig kasteel.;http://www.castellipuglia.org/en/monte.html;955,3361562;7,384279476;686;12;630,5802027;875,6279476;;854,8122838;112;<b>Castel del Monte</b><br><br><img src='http://www.topcastles.com/images/large/monte.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=monte<br><br>13. Castel del Monte<br>Country: Italy<br>Region: Apulië (Puglia)<br>Place: ;Castel del Monte
14;gravensteen;gravensteen;Gravensteen;Belgium;België;Benelux, Heilige Roomse Rijk;Benelux, Holy Roman Empire;Gent;Oost Vlaanderen;oost_vlaanderen;51,05722222;3,720555556;3314463221043878846;Graaf Philip van den Elzas van Vlaanderen;Count Philip of den Elzas of Flanders;12;Waterburcht (Slot);Water castle;3;Donjon binnen weermuren;Donjon inside curtain wall;6;Herbouwd/Verbouwd;Rebuild/Restored;2;;;In de 9de-eeuw werd hier een houten kasteel gebouwd.;In de 9de-eeuw werd hier een houten kasteel gebouwd.;http://www.gent.be/gent/historis/monument/gravenst.htm;942,1665752;7,926108374;405;14;617,0679517;873,6108374;1999;863,8951323;0;<b>Gravensteen</b><br><br><img src='http://www.topcastles.com/images/large/gravensteen.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=gravensteen<br><br>14. Gravensteen<br>Country: Belgium<br>Region: Oost Vlaanderen<br>Place: Gent;Gravensteen
15;conwy;conway;Conway Castle (Conwy);Wales;Wales;Britse Eilanden, Verenigd Koninkrijk;British isles, United Kingdom;Conwy;Gwynedd;gwynedd;53,28;-3,825555556;5494526086270810380;Koning Edward I van Engeland;King Edward I of England;13;Stadsburcht;City castle;5;Rechthoekig of veelhoekig;Rectangular or polygonal;5;Beschadigd;Damaged;3; ; ;;;http://www.conwy.com/;927,5782805;7,531772575;298;10;634,6551686;812,7772575;;888,517236;0;<b>Conway Castle (Conwy)</b><br><br><img src='http://www.topcastles.com/images/large/conwy.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=conwy<br><br>15. Conway Castle (Conwy)<br>Country: Wales<br>Region: Gwynedd<br>Place: Conwy;Conway Castle (Conwy)
16;beaumaris;beaumaris;Beaumaris Castle;Wales;Wales;Britse Eilanden, Verenigd Koninkrijk;British isles, United Kingdom;Anglesey;Gwynedd;gwynedd;53,264738;-4,089746;5146500751697623760;Koning Edward I van Engeland;King Edward I of England;13;Waterburcht (Slot);Water castle;3;Rechthoekig of veelhoekig;Rectangular or polygonal;5;Beschadigd;Damaged;3; ; ;Laatste van de acht kastelen die koning Edward I bouwde om zijn verovering van Wales te bestendigen. Beste voorbeeld van een concentrisch kasteel.;Laatste van de acht kastelen die koning Edward I bouwde om zijn verovering van Wales te bestendigen. Beste voorbeeld van een concentrisch kasteel.;http://www.beaumaris.com/;894,58209;6,793103448;173;9;652,9187973;713,9103448;;914,0863162;0;<b>Beaumaris Castle</b><br><br><img src='http://www.topcastles.com/images/large/beaumaris.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=beaumaris<br><br>16. Beaumaris Castle<br>Country: Wales<br>Region: Gwynedd<br>Place: Anglesey;Beaumaris Castle
17;gaillard;gaillard;Château Gaillard des Andelys;France;Frankrijk;;;Les Andeleys;Normandie;normandie;49,238042;1,402699;2464156953963587784;"Koning Richard I van England (""the Lion Heart"")";"King Richard I of England (""the Lion Heart"")";12;Rotskasteel;Rock castle;2;Donjon binnen weermuren;Donjon inside curtain wall;6;Ruïne/Restant;Ruined/Partly remained;4;Het kasteel is in een jaar tijd gebouwd om de Normandische stad Rouen tegen een inval van de Fransen via de Seine te beschermen. Drie jaar na de bouw en na een beleg van een half jaar is het in handen van de franse koning Philips August gevallen en ontmanteld.;The castle was build in one year to protect the Norman capital Rouen against an attack of the French king via the river the Seine. Three years after it was build and after a siege of 6 months it fell in the hands of the french king Philips August and was demolished.;Het kasteel heeft een voorburcht, een middenburcht en een hoofdburcht die van elkaar gescheiden zijn door weermuren en een droge gracht.;Het kasteel heeft een voorburcht, een middenburcht en een hoofdburcht die van elkaar gescheiden zijn door weermuren en een droge gracht.;http://remi.placier.free.fr/;868,6079567;5,73968254;629;11;631,9153664;699,768254;2004;884,6815129;0;<b>Château Gaillard des Andelys</b><br><br><img src='http://www.topcastles.com/images/large/gaillard.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=gaillard<br><br>17. Château Gaillard des Andelys<br>Country: France<br>Region: Normandie<br>Place: Les Andeleys;Château Gaillard des Andelys
18;vianden;vianden;Vianden;Luxemburg;Luxemburg;Benelux, Heilige Roomse Rijk;Benelux, Holy Roman Empire;Vianden;;;49,934932;6,202823;14119892690765266210;;;;Rotskasteel;Rock castle;2;Rechthoekig of veelhoekig;Rectangular or polygonal;5;Herbouwd/Verbouwd;Rebuild/Restored;2;Oranje-Nassau;Oranje-Nassau;;;http://www.castle-vianden.lu/english;837,5060184;7,603448276;231;18;538,0373384;806,5448276;2004;725,2522738;112;<b>Vianden</b><br><br><img src='http://www.topcastles.com/images/large/vianden.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=vianden<br><br>18. Vianden<br>Country: Luxemburg<br>Region: <br>Place: Vianden;Vianden
19;karlstejn;Karlštejn;Karlštejn Hrad ;Czechia;Tsjechië;Oost Europa, Heilige Roomse Rijk;Eastern Europe, Holy Roman Empire;Karlstejn;Stredo Ceský (Mittelböhmen);mezbohemia;49,93944444;14,18833333;14260356540059595386;Keizer Charles IV van het heilige roomse rijk;Emperor Charles IV of the holy roman empire;14;Hoogteburcht;Mountain castle;1;Donjon binnen weermuren;Donjon inside curtain wall;6;Herbouwd/Verbouwd;Rebuild/Restored;2; ; ;"Eén van de meest bezochte en fotogenieke kastelen in Bohemen is Karlštejn. Het kasteel bevindt zich 30 kilometer ten zuiden van Praag. Langs de hoofdstraat van het plaatsje Budnany aan de Berounka wandelt u geleidelijk omhoog naar het kasteel, dat zich als een tijdloze majesteit boven alles verheft op de krijtrots.
De burcht is gebouwd in 1348 door keizer Karel IV, zowel als een toevluchtsoord, als een veilige bewaarplaats voor de kroonjuwelen en andere kostbaren relieken van het Heilige Roomse Rijk. Het resultaat hiervan was een onneembare vesting. Dankzij gekantelde muren gebouwd op rotsen wordt het de vijand niet gemakkelijk gemaakt. Zelfs de hussieten werden afgeschrikt door de lange klim naar het kasteel, en na het zeven maanden belegerd te hebben, vertrokken zij weer. 
De burcht bestaat uit drie zelfstandige gebouwen en ze zijn naar ideologische en inhoudelijke rangorde in het landschap geplaatst. Op het laagste niveau bevindt zich het paleis. Op een niveau hoger staat de Maria-toren en de Maria-kerk die gewijd is aan de maagd Maria. Boven deze twee niveaus reikt de Heilige Kruiskapel in de Grote Toren, welke de kern van het gehele concept vormt. Volgens een decreet van 1357 mochten hier geen vrouwen komen. De kapel zelf was slechts toegankelijk voor de keizer en zijn hofpriester.";;http://www.hradkarlstejn.cz/;830,041483;7,993506494;307;21;499,6290648;860,7506494;2005;671,4806907;112;<b>Karlštejn Hrad </b><br><br><img src='http://www.topcastles.com/images/large/karlstejn.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=karlstejn<br><br>19. Karlštejn Hrad <br>Country: Czechia<br>Region: Stredo Ceský (Mittelböhmen)<br>Place: Karlstejn;Karlštejn Hrad 
20;wartburg;wartburg;Die Wartburg;Germany;Duitsland;Heilige Roomse Rijk;Holy Roman Empire;Eisenach;Thüringen;thuringen;50,96621667;10,3064222222222;8160786951444061414;Ludwig III;Ludwig III;11;Hoogteburcht;Mountain castle;1;Donjon binnen weermuren;Donjon inside curtain wall;6;Intakt;Intact;1;Hier vond de minstrelen wedstrijd plaats die onderwerp was van Wagner's Tannhäuser opera. Martin Luther schreef hier in ballingschap zijn vertaling van het nieuwe testament.;Location of the minstrel's countest that was subject of Wagner's opera Tannhäuser. Martin Luther wrote his translation of the new testament while he was in exile in the Wartburg;;;http://www.wartburg-eisenach.de/frame_st.htm;828,9825555;6,699346405;152;16;587,5724836;700,3346405;;822,601477;0;<b>Die Wartburg</b><br><br><img src='http://www.topcastles.com/images/large/wartburg.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=wartburg<br><br>20. Die Wartburg<br>Country: Germany<br>Region: Thüringen<br>Place: Eisenach;Die Wartburg
21;coca;coca;Castillo de Coca (Castile Causa);Spain;Spanje;Zuid Europa;South Europe;Segovia;Castilla y León;castilla_y_leon;41,215;-4,525556;6372451789096931153;Archbishop Alfonso de Fuesca de Seville;Archbishop Alfonso de Fuesca de Seville;14;Hoogteburcht;Mountain castle;1;Donjon binnen weermuren;Donjon inside curtain wall;6;Intakt;Intact;1; ; ;;;http://www.coca-ciudaddecauca.org/principal.htm;825,7325197;8,38028169;283;24;476,0204835;894,628169;;610,4286769;224;<b>Castillo de Coca (Castile Causa)</b><br><br><img src='http://www.topcastles.com/images/large/coca.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=coca<br><br>21. Castillo de Coca (Castile Causa)<br>Country: Spain<br>Region: Castilla y León<br>Place: Segovia;Castillo de Coca (Castile Causa)
22;caerphilly;caerphilly;Caerphilly Castle;Wales;Wales;Britse Eilanden, Verenigd Koninkrijk;British isles, United Kingdom;Mid Glamorgan;Glamorgan;glamorgan;51,576163;-3,220196;;Gilbert de Clare;Gilbert de Clare;13;Waterburcht (Slot);Water castle;3;Rechthoekig of veelhoekig;Rectangular or polygonal;5;Beschadigd;Damaged;3; ; ;;;http://www.castlewales.com/caerphil.html;810,2435611;7,224489796;195;19;532,7989681;761,4489796;;745,9185553;0;<b>Caerphilly Castle</b><br><br><img src='http://www.topcastles.com/images/large/caerphilly.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=caerphilly<br><br>22. Caerphilly Castle<br>Country: Wales<br>Region: Glamorgan<br>Place: Mid Glamorgan;Caerphilly Castle
23;kalmar;kalmar;Kalmar Slott;Sweden;Zweden;Scandinavië, Noord Europa;Scandinavia, Nordic;Kalmar (Skåne);Sydsverige (South Sweden);sydsverige;56,65796055;16,35556436;16904466282591241645;Koning Knoet I van Zweden;King Knoet I of Sweden;12;Havenburcht;Harbour castle;4;Rechthoekig of veelhoekig;Rectangular or polygonal;5;Intakt;Intact;1; ; ;In de staat van eind 13e eeuw was Kalmar slott omgeven van een onregelmatige ringmuur. Voor een betere verdediging liet Magnus I van Zweden een omringde muur met vier torens rondom het oorspronkelijke verdedigingsbouwwerk bouwen. Eerst werd een donjon aan de zeezijde gebouwd en deze werd ondersteund door twee massieve ronde torens (naar Frans-Duits model). Twee vierkante torens beschermden de toegangsweg bij de poort. Gustaaf Wasa en zijn zonen bouwden het kasteel verder uit. Gustaaf veranderde de burcht drastisch. De oude donjon bleef behouden. De bijbehorende gebouwen werden paleisachtig ver- of gebouwd. Buiten de omringde muur bouwde hij een nederige maar massievere stenen- en aarden wallen bastion die als verdediging met en tegen het, in die tijd nieuw opkomende, artillerie diende.;"Located near the site of Kalmar's medieval harbor, it has played a crucial part in Swedish history since its initial construction as a fortified tower in the 12th century. King Magnus Ladulås ordered the construction of a fortress around the tower in the 1280s, and was further expanded in the centuries that followed.
One of the most significant political events in Scandinavia took place at Kalmar Castle in 1397, when the Kalmar Union was formed - a union of Denmark, Norway and Sweden, organized by Queen Margaret I of Denmark. During the Swedish rebellion against Denmark in 1520, the fortress was commanded by Anna Eriksdotter.
The fortress was improved during the 16th century under the direction of King Gustav I and his sons Eric XIV and John III, who turned the medieval fortress into a castle fit for a renaissance king. Today, it is one of Sweden's best preserved renaissance castles and is open to the public.";http://www.kalmarslott.kalmar.se/sites/kalmarslott/t/default.aspx?id=19676;804,172882;7,387596899;128;20;524,4367078;764,3596899;;622,2113909;448;<b>Kalmar Slott</b><br><br><img src='http://www.topcastles.com/images/large/kalmar.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=kalmar<br><br>23. Kalmar Slott<br>Country: Sweden<br>Region: Sydsverige (South Sweden)<br>Place: Kalmar (Skåne);Kalmar Slott
24;muiderslot;muiderslot;Muiderslot;Netherlands;Nederland;Benelux, Heilige Roomse Rijk;Benelux, Holy Roman Empire;Muiden;Noord Holland;noord_holland;52,33423056;5,071805556;8914438299242954402;Graaf Floris V van Holland;Count Floris V of Holland;13;Waterburcht (Slot);Water castle;3;Rechthoekig of veelhoekig;Rectangular or polygonal;5;Herbouwd/Verbouwd;Rebuild/Restored;2;Floris V werd op een jachtpartij bij het Muiderslot vermoord. Dichter P.C. Hooft was drost van Muiden in de 17de-eeuw.;Floris V werd op een jachtpartij bij het Muiderslot vermoord. Dichter P.C. Hooft was drost van Muiden in de 17de-eeuw.;Tolburcht bij de monding van de Vecht in de voormalige Zuiderzee. Na de dood van Floris V in 1296 werd het Muiderslot verwoest en in de 14de eeuw weer opgebouwd. ;Tolburcht bij de monding van de Vecht in de voormalige Zuiderzee. Na de dood van Floris V in 1296 werd het Muiderslot verwoest en in de 14de eeuw weer opgebouwd. ;http://www.muiderslot.nl/;791,0596782;8,155244755;714;43;402,1082672;958,3244755;2008;562,9515741;0;<b>Muiderslot</b><br><br><img src='http://www.topcastles.com/images/large/muiderslot.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=muiderslot<br><br>24. Muiderslot<br>Country: Netherlands<br>Region: Noord Holland<br>Place: Muiden;Muiderslot
25;hautkoeningsbourg;"haut-k&ouml;ningsbourg";Château d'Haut-Koenigsbourg (Hohkönigsburg);France;Frankrijk;Heilige Roomse Rijk;Holy Roman Empire;Haut-Koeningsbourg;Elzas (Alsace);alsace;48,24948258;7,345314106;12269863085034129739;;;12;Rotskasteel;Rock castle;2;Donjon binnen weermuren;Donjon inside curtain wall;6;Herbouwd/Verbouwd;Rebuild/Restored;2;;;;;http://www.haut-koenigsbourg.fr/en;781,0094516;7,675409836;304;28;463,1543997;828,3409836;2002;648,4161596;0;<b>Château d'Haut-Koenigsbourg (Hohkönigsburg)</b><br><br><img src='http://www.topcastles.com/images/large/hautkoeningsbourg.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=hautkoeningsbourg<br><br>25. Château d'Haut-Koenigsbourg (Hohkönigsburg)<br>Country: France<br>Region: Elzas (Alsace)<br>Place: Haut-Koeningsbourg;Château d'Haut-Koenigsbourg (Hohkönigsburg)
26;windsor;windsor;Windsor Castle;England;Engeland;Britse Eilanden, Verenigd Koninkrijk;British isles, United Kingdom;Windsor (Birkshire);South East;south_east;51,48388889;-0,604377778;1025284904394031008;Koning Edward III van Engeland;King Edward III of England;11;Hoogteburcht;Mountain castle;1;Later normandisch;Later norman;2;Intakt;Intact;1; ; ;;;http://www.royal.gov.uk/output/page557.asp;776,6754059;7,37826087;229;23;483,1804027;783,626087;2009;620,4525638;224;<b>Windsor Castle</b><br><br><img src='http://www.topcastles.com/images/large/windsor.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=windsor<br><br>26. Windsor Castle<br>Country: England<br>Region: South East<br>Place: Windsor (Birkshire);Windsor Castle
